CODIGO,CLIENTE,TAREFA,OBSERVACAO,CONCLUSAO
368,03R GAMA - 08.959.916/0001-85,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
55,06/A CAS - ASSOCIACAO POR DO SOL - 04.909.194/0001-01,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
26,10 CAAC - RESIDENCIAL LIRIOS DO VALLE - 07.833.042/0001-52,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
4,10 SHA - VEREDAS - 12.865.490/0001-78,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
59,113 SHVP - RESIDENCIAL ESPERANCA - 05.382.942/0001-03,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
67,131/A SHVP - RESIDENCIAL SUMMER VILLE - 13.727.838/0001-23,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
75,131/B SHVP - RESIDENCIAL SUMMER VILLE - 13.769.524/0001-93,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
80,139 SHVP - RESIDENCIAL SONHO VERDE - 05.939.805/0001-19,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
94,140 SHVP - RESIDENCIAL CANAA COLIBRI - 04.696.674/0001-23,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
490,141/1 SHVP - 04.101.825/0001-53,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
98,154/2 SHVP - RESIDENCIAL DAS PALMEIRAS - 03.922.573/0001-60,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
105,157 SHVP - 04.328.611/0001-14,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
5,16 CAVC - RESIDENCIAL BOSQUE DOURADO - 10.225.850/0001-41,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
270,16 GAMA - RESIDENCIAL YPE - 11.011.168/0001-19,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
30,16/A CAAC -RESIDENCIAL RECANTO DOS PASSAROS - 05.809.482/0001-49,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
147,160 SHVP - RESIDENCIAL DAS PALMEIRAS - 07.359.699/0001-20,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
158,166 SHVP - 13.149.863/0001-77,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
159,170 SHVP - RESIDENCIAL DRUMMOND - 03.263.643/0001-16,4.1.01 LANCAMENTOS AVULSOS,,23/09/2024
168,178 SHVP - RESIDENCIAL METROPOLITAN - 05.267.098/0001-61,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
179,179/B SHVP - RESIDENCIAL MORADA NOVA - 07.322.512/0001-13,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
7,18/A CAVC - 05.781.656/0001-02,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
180,186 SHVP - CONDOMINIO RESIDENCIAL NOSSO LAR - 07.304.866/0001-35,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
181,187 SHVP - CONDOMINIO JARDINS - 04.359.806/0001-21,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
182,192 SHVP - RESIDENCIAL AGAPE - 14.299.616/0001-10,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
190,203 SHVP - RESIDENCIAL ESPERANCA - 05.398.114/0001-55,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
8,21 SHA - RESIDENCIAL BRASILIA - 13.164.754/0001-29,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
191,215 SHVP - RESIDENCIAL PREMIUM - 13.028.989/0001-93,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
198,218 SHVP - RECANTO DOS IPES - 05.578.233/0001-90,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
15,22/A SHA - RESIDENCIAL ATIAIA - 07.245.752/0001-61,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
199,220 SHVP - RESIDENCIAL PALMARES - 07.402.468/0001-51,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
95,231 SHVP - PORTAL DO SOL - 05.432.983/0001-59,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
99,233 SHVP - CONDOMINIO RESIDENCIAL VEDANA - 06.294.762/0001-24,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
100,242 SHVP - RESIDENCIAL TOPAZIO - 05.801.811/0001-05,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
106,243 SHVP - RESIDENCIAL FENIX - 05.682.416/0001-50,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
107,245 SHVP - 04.684.618/0001-79,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
437,25 CAS - PARQUE DAS PRIMAVERAS - 03.474.040/0001-63,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
108,250 SHVP - RESIDENCIAL FENIX - 04.022.510/0001-10,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
109,256 SHVP - 04.720.890/0001-67,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
426,259 SHVP - 04.178.400/0001-42,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
422,26 SHA - 05.364.601/0001-05,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
111,262 SHVP - RESIDENCIAL ENCONTRO DAS AGUAS - 04.656.375/0001-65,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
112,267 SHVP  - RESIDENCIAL CALLIANDRA - 05.128.523/0001-31,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
113,268 SHVP - RESIDENCIAL ROTA DO SOL - 03.146.458/0001-41,4.1.01 LANCAMENTOS AVULSOS,,30/09/2024
16,27/B SHVP - 10.736.647/0001-30,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
114,272 SHVP - RESIDENCIAL BELLA LUNA - 05.474.286/0001-60,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
115,273 SHVP - 03.547.256/0001-01,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
116,274 SHVP - 04.551.203/0001-27,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
119,284 SHVP - CONDOMINIO RESIDENCIAL BEIJA-FLOR - 12.035.460/0001-34,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
415,285 SHVP - 05.672.990/0001-28,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
120,288 SHVP - RESIDENCIAL IMPERIAL - 04.730.266/0001-40,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
121,291 SHVP - RESIDENCIAL FLORES DE MAIO - 04.828.788/0001-80,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
416,30 CAAC - RESIDENCIAL GUARA PARK - 04.990.109/0001-74,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
122,304 SHVP - 12.544.412/0001-71,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
200,308 SHVP - RESIDENCIAL ALVORADA VILLE - 11.835.367/0001-41,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
535,312 SHVP - 04.008.664/0001-58,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
211,317 SHVP - 07.329.861/0001-67,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
36,32 CAAC  - RESIDENCIAL BURITIS - 05.311.616/0001-05,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
470,327/1 SHVP - 04.395.230/0001-58,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
58,34 CAS - RESIDENCIAL VERDES VALES - 05.128.385/0001-90,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
42,40 CAAC - RESIDENCIAL SAO GABRIEL - 05.694.255/0001-15,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
21,42 SHVP -  RESIDENCIAL ILHA BELA - 12.551.947/0001-70,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
22,46 SHA - RESIDENCIAL RECANTO DOS SONHOS - 05.212.909/0001-27,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
24,47 SHVP - 05.499.939/0001-66,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
25,48 SHVP - RESIDENCIAL VILLA LOBOS - 12.288.788/0001-62,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
28,52 SHVP - 07.575.868/0001-69,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
66,57 CAAC - CONDOMINIO MONTE SINAI - 07.575.948/0001-14,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
216,62 CAS - RESIDENCIAL IPE AMARELO - 27.389.314/0001-84,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
377,82 SHVP - 05.355.340/0001-59,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
32,84/B SHVP - 09.404.499/0001-77,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
33,89/2 SHA - RESIDENCIAL VIVERDE - 11.954.862/0001-70,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
35,94 SHVP - RESIDENCIAL IMPERIUM - 22.415.008/0001-51,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
37,99/B - SHVP - 03.658.798/0001-51,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
38,AGUA MARINHA - 32.871.377/0001-02,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
427,AGUAS CLARAS I - 01.310.080/0001-44,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
518,ALAMEDA DOS IPES - GAMA - 11.332.453/0001-31,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
265,ALFA GAMA - 01.602.283/0001-04,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
313,ANGRA - 22.826.493/0001-56,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
395,APOLLO - 38.711.072/0001-10,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
84,ARAGUAIA - 33.522.582/0001-25,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
57,ASA BRANCA - 24 CAS - 05.094.159/0001-36,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
318,BELLE STELLA - 17.986.099/0001-45,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
212,BLOCO K QE 07 - 37.113.537/0001-78,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
213,BURITI VERMELHO - 03.469.328/0001-40,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
488,CALIFORNIA - 42.742.793/0001-64,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
123,CARIBE SHVP - 33.622.771/0001-70,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
460,CARPE DIEM - 29.885.166/0001-14,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
222,CATHARINA IASEN - 09.309.533/0001-24,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
40,CLAUDIO MEDEIROS - 28.797.295/0001-98,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
225,CND 02 LOTE 20 - 23.639.936/0001-62,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
365,COIMBRA - 13.356.455/0001-96,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
608,CONDOMINIO WE LIFE STYLE - 21.260.830/0001-28,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
293,COSTA RICA - 27.823.011/0001-28,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
440,DOM RAFAEL - 02.560.262/0001-36,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
324,DUBAI RESIDENCIA E LAZER - 28.246.835/0001-45,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
226,EDIFICIO BELA VISTA - 30.115.445/0001-88,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
227,ELEGANCE - 17.639.657/0001-04,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
228,ENJOY - 30.725.307/0001-10,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
245,ERMANDO MAGRI - 22.817.479/0001-96,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
45,FLORES DO CERRADO SHA - 15.333.447/0001-50,4.1.01 LANCAMENTOS AVULSOS,,17/09/2024
44,GH PRIME II - 36.662.053/0001-15,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
326,GREEN PARK - 14.944.013/0001-23,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
327,ILHA BELLA GAMA - 17.560.417/0001-01,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
281,IMPERIO GAMA - 22.797.168/0001-02,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
125,IMPERIUM - 26.744.872/0001-58,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
283,IPANEMA - GAMA - 35.540.565/0001-46,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
250,JARDIM PAINEIRAS - 21.024.903/0001-82,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
299,JARDINS DO CERRADO I - 21.737.506/0001-58,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
333,JERUSALEM - 30.127.011/0001-06,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
446,JORNALISTA POMPEU FILHO - 26.058.309/0001-26,4.1.01 LANCAMENTOS AVULSOS,,30/09/2024
251,LINEA STUDIO HOME - 06.745.885/0001-34,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
336,LIRIO DOS VALES - 24.899.325/0001-16,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
231,LUCAS - 07.979.077/0001-02,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
284,MACADAMIA - 13.250.205/0001-77,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
129,MADRID - SHVP - 34.330.747/0001-20,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
286,MANSAO PARAISO - 13.317.399/0001-80,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
346,MERCADAO - 01.291.745/0001-10,4.1.01 LANCAMENTOS AVULSOS,,27/09/2024
287,MONACO - 26.172.739/0001-74,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
547,MONDRIAN ANTARES - 10.657.525/0001-58,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
233,MONTE CARLO - 33.557.541/0001-74,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
353,NATAL - 28.993.323/0001-42,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
289,NOEL - 28.354.584/0001-12,4.1.01 LANCAMENTOS AVULSOS,,25/09/2024
141,NOVA CANAA - 12.682.853/0001-30,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
130,OASIS - SHVP - 36.662.058/0001-48,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
234,OLIVEIRA - 24.734.018/0001-85,4.1.01 LANCAMENTOS AVULSOS,,13/09/2024
290,ONIX - GAMA - 23.480.763/0001-82,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
302,OURO AZUL III - 13.558.520/0001-66,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
404,OURO VERMELHO II - 14.899.335/0001-06,4.1.01 LANCAMENTOS AVULSOS,,20/09/2024
370,PARK NORTE - 28.748.364/0001-73,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
146,PARK VILLE - GAMA - 14.753.753/0001-82,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
148,PARQUE DAS AGUAS - 14.974.283/0001-87,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
408,PAU BRASIL - 18.120.028/0001-28,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
169,POR DO SOL III - 08.865.052/0001-32,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
170,PORTO SEGURO - GAMA - 33.522.319/0001-36,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
304,PRIMAVERA VILLE - VALPARAISO - 40.111.433/0001-39,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
214,PROFESSOR CRISTOVAM - 24.203.664/0001-16,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
255,QE 40 - LOTE 17 D - 34.361.174/0001-00,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
340,RAVELLO - 20.905.301/0001-71,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
341,REAL VILLE - 13.834.256/0001-46,4.1.01 LANCAMENTOS AVULSOS,,23/09/2024
405,RESIDENCIAL JK - 17.991.285/0001-72,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
434,RESIDENCIAL MARIA IVA - 43.850.402/0001-98,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
420,RESIDENCIAL MILAO - 04.852.907/0001-30,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
620,RESIDENCIAL SKALA DO SOL - 21.578.039/0001-60,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
257,RHODES CENTER I - 00.316.806/0001-93,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
305,RIO CLARO - 23.388.361/0001-52,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
342,RIO DE JANEIRO - 04.709.517/0001-05,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
477,SAN FRANCISCO II - 26.964.643/0001-49,4.1.01 LANCAMENTOS AVULSOS,,09/09/2024
133,SEVERINO ANDRE - 28.714.115/0001-67,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
215,SHN 04 - 07.173.950/0001-67,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
260,SOLAR ITAIPU - 38.184.169/0001-11,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
474,STILO FLEX SAMAMBAIA - 47.052.765/0001-39,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
393,THEMIS - 39.576.761/0001-21,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
548,TOTAL VILLE - CONDOMINIO 6 - 20.586.964/0001-70,4.1.01 LANCAMENTOS AVULSOS,,23/09/2024
568,VERSATO - RESIDENCIAL - ,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
239,VIVA - SHVP - 28.397.044/0001-16,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
238,VIVA BEM - 29.876.999/0001-19,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
357,VIVA VERT - 15.348.797/0001-90,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
134,VIVENDAS DA VITORIA - 35.847.362/0001-05,4.1.01 LANCAMENTOS AVULSOS,,12/09/2024
468,WASHINGTON LUIZ - 01.719.236/0001-45,4.1.01 LANCAMENTOS AVULSOS,,06/09/2024
614,EDIFICIO EUZEBIO - 12.771.261/0001-94,4.1.01 LANCAMENTOS AVULSOS,,27/09/2024
631,41 SHVP - RESIDENCIAL IPE - 05.739.916/0001-81,4.1.01 LANCAMENTOS AVULSOS,,10/09/2024
624,RESIDENCIAL BOSQUE DAS AVES - 55.666.147/0001-07,4.1.01 LANCAMENTOS AVULSOS,,11/09/2024
544,CENTRO EMPRESARIAL VICENTE PIRES - 40.389.556/0001-36,4.1.01 LANCAMENTOS AVULSOS,,24/09/2024
